status_message,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
"""Having a child was the best thing that ever happened to us.  But it is constant company with terrible conversation.""",5/2/17 18:15,93498,1530,1331,75371,4102,39,13962,15,9
"""I feel like I'm just starting, but I think I'd be fine if it all went away.  I get that from my mother.  From the moment I started singing, she always reminded me that all of this was a privilege, and could be taken at any moment.  So singing is not how I define myself.  I try to keep my identity rooted in my friendships and my faith.""",5/2/17 16:15,253464,2388,3817,226117,26613,647,58,11,20
"""She has the biggest heart.  Everyone sees her success as an athlete, but all of that is layered on the size of her heart.  She gives 100% of herself to everything she does: as a friend, as a lover, and soon, as a mother.""",5/2/17 14:15,267302,2376,5350,221541,45065,636,48,4,8
"""He's so sexy.  And he taught me the importance of being silly.""""Being silly is so important.  Silly is the opposite of grief.  It's throwing yourself into a moment without care.  You can't always maintain your status as a dignified person-- it gives you blinders. When you always expect the world to fulfill your expectations, it wears you down.  It closes you off.""""So sexy.""",5/2/17 12:00,189244,3547,9108,154613,31942,91,2578,9,11
"""She always responds with empathy.  She meets anger with empathy.  She meets hate with empathy.  She'll take the time to imagine what happened to a person when they were five or six years old.  And she's made me a more empathetic person.  I had a very fractured relationship with my father.  Before he died, she made me remember things I didn't want to remember.  She made me remember the good times.""",5/2/17 9:08,681284,14163,38497,532685,146717,1601,139,135,10
"""They try to manipulate me.  But I've got it figured out.  A hug in the morning is normal.  A hug at night is normal.  A hug for no reason means that we saw something we want on television.""(Lima, Peru)",5/1/17 13:18,177150,2327,3386,125265,9826,80,41945,30,4
"""I live with my mom and uncles.  There are twelve of us in one house.  Everyone is sacrificing so that I can go to university.  My mom works in restaurants and cleans houses.  All her money goes to my tuition.  She always tells me just to focus on school.  We were short on money last semester, but she told me: 'Don't worry about it.  I'll find it.  You just continue.'  She's always been like that.  She never wants me to be stressed.  My dad passed away when I was a young child.  So we've always struggled.  Sometimes when I was growing up, there would only be enough for one meal.  And my mom always said that she wasn't hungry.  I didn't realize until I was older that she had only been pretending.""(Lima, Peru)",4/30/17 18:15,165455,2414,4446,104171,25447,939,56,34815,27
"""I knew my husband very well.  We'd been living together for twenty-one years.  So it was obvious that something was going on.  Suddenly he started playing guitar and writing songs.  The songs were OK, but I read some of the lyrics and they clearly weren't written for me.  He started wearing cologne.  He started liking new foods that he'd never even tried before.  So I was suspicious.  Then one night he came home crying.  I said: 'What happened?  Did you kill someone?'  He told me that he'd gotten a girl pregnant.  She'd just had the baby and didn't want to keep it.  Then he asked me if I would raise it!  I said: 'Sure, give it to me.'  I arranged to meet the woman in the park, and she handed me the boy.  He was only three days old.  He felt like my son the moment I held him.  I got rid of my husband a few months later.  But I kept the baby.  He's sixteen now.""  (Lima, Peru)",4/30/17 14:19,472257,12709,21189,329059,96608,43755,2105,701,29
"""He's always acting so serious.  The last time we went out with my friends, he looked like he was constipated the entire time.""(Lima, Peru)",4/29/17 15:25,110454,2092,1401,82484,5385,64,22494,24,3
"""I've been sitting here for three hours trying to figure out what to do.  I need to make a sale.  Rent is due in a week and I don't have the money.  I'm already starting to miss payments on a loan I took out recently.  I made two cold calls today and both of them went like shit.  I'd never do anything bad to get money, but who knows.  I'm beginning to dread going home.  My kids are small and want to be with me all the time, but I'm so stressed that I have no patience.  I've been losing my temper easily.  We were at my brother-in-law's house this weekend, and he's doing much better than I am.  His kids have a bunch of toys.  My son kept begging me to buy the same stupid little toy truck that his cousin had.  And I yelled at him to forget it.  I only had enough money in my pocket to get us home.""(Lima, Peru)",4/27/17 19:55,62385,1160,1181,25793,1895,144,28,34487,38
"""I'm about to meet up with my ex-girlfriend.  We broke up two weeks ago and I'm hoping to get back together with her.  I restricted her freedom too much.  I scheduled all our classes together.  I always wanted to know where she was.  It all started a year ago when she cheated on me.  She called me immediately afterwards and confessed.  But ever since then, anytime she's away from me, I always imagine the worst.  She goes out with friends and some of them are male.  So it's hard for me to not get suspicious.  And if I get suspicious, she gets nervous.  Which makes me even more suspicious.""(Lima, Peru)",4/27/17 17:56,31365,3534,664,23320,431,379,60,6912,263
"""We're talking about how important it is to take a shower every day.""(Lima, Peru)",4/26/17 15:15,174444,10554,4312,131186,8067,99,35059,23,10
"""My mission is to get them interested in Star Wars.  My only chance is to get the big one hooked first because that's how my kids work.  I pitched Princess Leia as the most important character.  I might have told a little lie and said that she was the princess of the entire galaxy.  We had our first attempt the other day.  I got whiplash checking to see if they were still awake, and I lost both of them before Princess Leia even showed up.  I have faith in George Lucas though.  We're scheduling another screening with lots of candy.  I think if we can just stay awake for the entire movie, we'll be ready for The Empire Strikes Back.""  (Lima, Peru)",4/25/17 18:35,240349,16069,12422,176639,38131,86,25471,12,10
"""I'm starting from nothing.  I lost everything back in Venezuela.  I had my own natural soap factory but the crisis made it impossible to get ingredients.  Then the government began to take 70% of my earnings.  I had to close it down.  Things got so bad that I couldn't even find food for my baby.  I had a little money, but there was nowhere to buy food.  I'd wait in line all day for one bag of flour.  We could go days without eating.  When I tried to breastfeed my daughter, I'd almost faint.  Leaving the country was my only chance.  I'd never said 'goodbye' to my daughter before.  She was screaming my name when I left.  It hurt worse than giving birth.  But I didn't have a choice.  I told her that I was going to Colombia. I told her that I was going to make a diamond, and I'd bring it back to her.  Now I sell key chains in the street.  When I make some money, I send packets of food back home.  I'm trying to keep a good spirit.  I'm doing OK.  I grew up very poor.  I came from nothing.  So I've been here before.""             (Bogotíç, Colombia)------------------------------------------My interpreter Juan has kept in touch with Rose, and we put together a small fundraiser if anyone would like to help: http://bit.ly/2pQbI5k",4/23/17 18:50,247287,6626,21612,133431,24379,954,131,87990,402
