status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
This wife had no idea what she'd gotten herself into.,"Wife Hides Under The Bed To See If Her Husband Is Faithful, But Hears Something Very Unexpected",link,http://www.americanow.com/story/society/2017/05/02/wife-tricks-husband-test-loyalty-gets-big-surprise?fb=abc,5/3/17 19:31,34,1,14,16,1,0,17,0,0
Yes or no?,Trump And Respect,video,https://www.facebook.com/opposingviews/videos/10154729260446051/,5/3/17 19:00,3204,1532,189,2770,125,5,240,6,58
This Playboy model is sparking serious outrage after people noticed something about her naked picture posted online.,Model Sparks Outrage With Photo After People Notice Something About It. Look Closer. (Photos),link,https://www.opposingviews.com/i/social/model-sparks-outrage-posing-naked-top-sacred-mountain,5/3/17 18:31,17,24,0,11,2,1,1,1,1
Do you agree with this?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154729275566051/?type=3,5/3/17 18:00,937,155,288,876,46,2,7,1,5
"This stay-at-home mom new the drill. She had already given birth twice before. Despite that, after she asked the doctor for a natural birth, every in the room was shocked to see what popped out of her just two hours later.","Mother Asks Doctor For Natural Birth, Shocked To See What Pops Out Of Her",link,http://www.americanow.com/story/health/2017/05/02/doctors-shocked-weight-newborn-baby-photos?fb=abc,5/3/17 17:31,82,6,34,55,4,21,1,1,0
Would Michelle Obama get your vote if she ran for president?,Michelle And The Presidency,video,https://www.facebook.com/opposingviews/videos/10154729251401051/,5/3/17 17:00,5356,6084,340,2426,285,31,1513,44,1057
This photo of an Ivanka Trump billboard is sparking outrage and going viral after people realized something about it. Look closer.,Ivanka Trump Billboard Sparks Outrage After People Notice Something About It. Look Closer. (Photo),link,https://www.opposingviews.com/i/politics/viral-photo-ivanka-trump-billboard-sparks-outrage-then-truth-comes-out,5/3/17 16:31,23,34,4,18,2,0,2,1,0
The Trump Administration just made a decision that has the Obamas fuming. Do you support or oppose this?,Trump Administration Erases Michelle Obama's Achievement,video,https://www.facebook.com/opposingviews/videos/10154729186976051/,5/3/17 16:02,592,250,57,484,38,2,7,3,58
Viewers of this video-gone-viral were left horrified to hear something that shouldn't have been there дус and it was in the background the entire time.,"As Girls Beat Each Other Bloody, Viewers Horrified By What's In Background",link,http://www.americanow.com/story/society/2017/05/02/parents-coach-daughter-fist-fight-video?fb=abc,5/3/17 15:31,88,35,38,41,2,5,3,2,35
"After sparking controversy for her ""racist"" comment about Barack Obama, Katy Perry just got accused of doing so much worse.",Katy Perry Is In Hot Water After What Word She Used To Her Producer's Face (Photos),link,https://www.opposingviews.com/i/society/katy-perry-accused-calling-producer-n-word,5/3/17 15:00,34,65,5,11,1,0,14,0,8
This picture of Melania Trump's signature is going viral after people noticed something really strange about it.,Take A Good Look At Melania Trump's Signature. See Anything Wrong With It?,link,https://www.opposingviews.com/i/politics/people-suspect-donald-forging-melanias-signature,5/3/17 14:30,57,159,16,35,2,10,6,1,3
"Earlier today, we learned that Barack Obama proposed to another woman before Michelle while he was already dating the first lady. Now, the truth about what he did with a male college professor has come out.",Obama Biography Reveals What He Did Thanks To His Gay Professor (Photo),link,https://www.opposingviews.com/i/politics/book-claims-barack-obama-considered-pursuing-gay-relationship,5/3/17 14:03,212,515,64,107,7,11,53,1,33
"By now, you've heard that 2 people are dead following a shooting at North Lake College near Dallas, Texas. Well, now there's been a major development.",Breaking Development After 2 Dead In Texas School Shooting,link,https://www.opposingviews.com/i/society/crime/2-dead-college-shooting-near-dallas,5/3/17 13:30,62,14,43,29,0,3,0,28,2
"You've seen her in some of the most iconic movies of our time. People all around the world watched her on screen for decades. Now, she's been found dead. Rest in peace, ma'am.",Legendary Actress Found Dead,link,https://www.opposingviews.com/i/society/actress-lorna-gray-dead-99,5/3/17 13:00,178,17,50,91,1,5,0,80,1
"If you get bit by a tick, you need to look for this sign - because you most likely have this deadly disease that's on the rise.","If You Have This Symptom From A Tick Bite, You Most Likely Have A 15% Chance Of Dying From This",link,https://www.opposingviews.com/i/health/officials-warn-deadly-tick-borne-virus,5/3/17 12:01,25,8,110,17,1,6,0,1,0
"It's just been revealed that Barack Obama dated this woman at the same time as Michelle, and he even asked her to marry him before the future First Lady. If that isn't bad enough, there's just been another shocking discovery.","Barack Obama Proposed To Another Woman After He Already Met Michelle, And Now We've Learned More",link,https://www.opposingviews.com/i/society/there-was-another-woman-barack-obama-loved-and-he-continued-see-her-even-after-meeting,5/3/17 11:00,381,1232,105,168,4,24,139,4,42
Some people are calling Stephen Colbert a homophobe for what he said about President Trump. Do you agree?,Colbert Accused Of Homophobia Over Trump Comments,link,https://www.opposingviews.com/i/society/stephen-colbert-branded-homphobe-joke-about-president-trump,5/3/17 9:02,548,919,55,344,8,7,98,13,78
"These four lured a 14-year-old girl to a house by telling her they had a job for her. When she got there, she was raped. They then proceeded to bring her to another house, and that's when they put her in a Craigslist ad and forced her to have sex with random men for money. If all that doesn't sound bad enough, it gets worse.Simple question: Do these 4 deserve to face the death penalty?","These Four Trafficked A 14-Year-Old Girl, But Just When You Thought It Couldn't Get Worse, It Does",link,https://www.opposingviews.com/i/society/crime/4-charged-trafficking-14-year-old-girl,5/3/17 8:00,318,252,139,107,2,1,1,20,187
"If you have one of these VHS tapes, it could be worth nearly $10,000.","If You Have One Of These VHS Tapes, They Could Be Worth Nearly $10,000",link,https://www.opposingviews.com/i/society/some-vhs-tapes-are-worth-thousands?fb=wt,5/3/17 7:31,198,55,364,163,2,28,5,0,0
The only thing crazier than the fact that this woman stomped on a car windshield on camera is the unbelievable reason why she did it.,Woman Arrested After Passersby See What She's Doing (Video),link,https://www.opposingviews.com/i/society/crime/woman-arrested-stomping-car,5/3/17 7:00,11,3,3,11,0,0,0,0,0
Do you feel the same way?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154726335261051/?type=3,5/3/17 0:15,847,13,248,828,15,1,3,0,0
Do you agree with Reagan?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724318786051/?type=3,5/2/17 23:45,2661,151,1114,2541,92,5,6,4,13
Do you agree?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724317056051/?type=3,5/2/17 23:10,2733,95,1615,2619,90,16,1,5,2
Dan Rather says Trump's recent comments on the Civil War show he's embarrassingly ignorant about U.S. history. Is he right?,Dan Rather: Trump's Knowledge Of History 'Below That Of Most Grade Schoolers',link,https://www.opposingviews.com/i/society/dan-rather-trumps-knowledge-history-below-most-gradeschoolers?fb=ov,5/2/17 22:35,1496,1977,334,1045,46,22,202,24,157
Do you feel the same way?,"Rep. Maxine Waters: Trump Is 'Disgusting, Disrespectful'",link,https://www.opposingviews.com/i/society/rep-maxine-waters-never-seen-anybody-disrespectful-trump?fb=ov,5/2/17 22:00,1500,2222,178,1023,62,11,131,17,256
President Trump is proposing one of the biggest tax cuts in American history. Here's how it would affect your bank account:,Trump Calls For Massive Tax Cut,video,https://www.facebook.com/opposingviews/videos/10154726369641051/,5/2/17 21:25,597,328,90,493,34,3,9,4,54
Do you agree or disagree?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724323441051/?type=3,5/2/17 21:00,1347,44,571,1291,50,6,0,0,0
"This father grabbed his 3-week-old daughter, brutally raped her, tortured her, and then finally killed her.","Dad Rapes, Kills 3-Week-Old Daughter; Should He Get The Death Penalty?",link,https://www.opposingviews.com/i/society/crime/dad-rapes-kills-3-week-old-daughter-should-he-get-death-penalty?fb=wt,5/2/17 20:31,4212,3789,1112,1601,15,37,2,309,2248
These plastic-eating caterpillars may be the secret to cleaning up our planet:,Plastic-Eating Caterpillars Could Save The World,video,https://www.facebook.com/opposingviews/videos/10154726340986051/,5/2/17 20:00,647,38,453,559,21,63,4,0,0
"Jimmy Kimmel delivered an emotional speech on his newborn son's open-heart surgery: ""Before 2014, if you were born with congenital heart disease, like my son was, there was a good chance you'd never be able to get health insurance.""",Kimmel Delivers Heartfelt Speech On Newborn Son's Surgery,video,https://www.facebook.com/opposingviews/videos/10154726578456051/,5/2/17 19:00,1622,458,367,1254,207,13,8,123,17
"At first, 18-year-old Jamie's parents weren't too concerned when they found a note from her saying she'd be home soon. When she didn't come home, however, they started to worry. Once they reported her missing, everyone started trying to find her. Well, they finally got some news.",Parents Of Girl Who Said She's Be Home Soon Before Vanishing Learn What Happened,link,https://www.opposingviews.com/i/society/teen-found-dead-after-leaving-parents-note-shed-be-home-soon,5/2/17 18:31,77,11,14,46,1,1,0,29,0
You better watch who you're messing with...,,video,https://www.facebook.com/opposingviews/videos/10154726495546051/,5/2/17 18:00,3299,99,2439,1911,28,35,1323,0,2
"Chelsea Clinton just responded to President Trump's Civil War comments with one word, and it's sparking some serious controversy.","Chelsea Clinton Responds To Trump With 1 Word, Sparks Outrage",link,https://www.opposingviews.com/i/politics/chelsea-clinton-responds-trumps-civil-war-comments,5/2/17 17:33,201,354,26,125,14,3,46,2,11
"When this elephant saw a man being attacked, he didn't hesitate...",,video,https://www.facebook.com/opposingviews/videos/10154726473291051/,5/2/17 17:00,1854,42,487,1508,221,115,9,0,1
"When a farmer went out to milk his cows, he was horrified to see that 32 of them were dead. They were all stacked up on top of each other. He was so confused - and then he realized how it happened.","Farmer Discovers 32 Cows Found Dead Piled On Top Of Each Other, Realizes What Happened (Photos)",link,https://www.opposingviews.com/i/society/animal-rights/lightning-kills-32-cows-leaving-them-piled-top-each-other,5/2/17 16:31,331,41,61,118,7,38,2,165,1
Just when you thought skydiving couldn't possibly get any scarier...,,video,https://www.facebook.com/opposingviews/videos/10154726458056051/,5/2/17 16:00,1507,131,894,642,7,732,5,118,3
